chapter,number,authors,year,title,venue,pages,doi,url,accessed,confidence,raw
1,11,"Oukas, N., Haboussi, S., Maiza, C., & Benslimane, N",2024,ArabAlg: A new dataset for Arabic speech commands recognition for machine learning purposes,"International Journal of Computing and Digital Systems, 15(1)",,10.12785/ijcds/150170,https://doi.org/10.12785/ijcds/150170,,high,"Oukas, N., Haboussi, S., Maiza, C., & Benslimane, N. (2024). ArabAlg: A new dataset for Arabic speech commands recognition for machine learning purposes. International Journal of Computing and Digital Systems, 15(1). https://doi.org/10.12785/ijcds/150170"
1,12,"Salhab, M., & Harmanani, H",2024,AraSpot: Arabic spoken command spotting,ACM Transactions on Asian and Low-Resource Language Information Processing,,10.1145/3674968,https://doi.org/10.1145/3674968,,high,"Salhab, M., & Harmanani, H. (2024). AraSpot: Arabic spoken command spotting. ACM Transactions on Asian and Low-Resource Language Information Processing. https://doi.org/10.1145/3674968"
1,13,"Ardila, R., Branson, M., Davis, K., Kohler, M., Meyer, J., Henretty, M., Morais, R., Saunders, L., Tyers, F., & Weber, G",2020,Common Voice: A massively-multilingual speech corpus,LREC,4218-4222,,https://aclanthology.org/2020.lrec-1.520/,19 June 2026,high,"Ardila, R., Branson, M., Davis, K., Kohler, M., Meyer, J., Henretty, M., Morais, R., Saunders, L., Tyers, F., & Weber, G. (2020). Common Voice: A massively-multilingual speech corpus. LREC, 4218-4222. https://aclanthology.org/2020.lrec-1.520/ Accessed 19 June 2026."
1,14,"Alharbi, S., Alowisheq, A., Tüske, Z., Darwish, K., Alrajeh, A., Alrowithi, A., Bin Tamran, A., Ibrahim, A., Aloraini, R., Alnajim, R., Alkahtani, R., Almuasaad, R., Alrasheed, S., Alsubaie, S., & Alonaizan, Y",2024,SADA: Saudi Audio Dataset for Arabic,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10286-10290,10.1109/ICASSP48485.2024.10446243,https://doi.org/10.1109/ICASSP48485.2024.10446243,,high,"Alharbi, S., Alowisheq, A., Tüske, Z., Darwish, K., Alrajeh, A., Alrowithi, A., Bin Tamran, A., Ibrahim, A., Aloraini, R., Alnajim, R., Alkahtani, R., Almuasaad, R., Alrasheed, S., Alsubaie, S., & Alonaizan, Y. (2024). SADA: Saudi Audio Dataset for Arabic. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 10286-10290. https://doi.org/10.1109/ICASSP48485.2024.10446243"
1,15,"Bhatti, H. H., Alam, F., & Chowdhury, S. A",2026,Multi-task instruction tuning via data scheduling for low-resource Arabic SpeechLLMs,arXiv:2601.12494,,,https://arxiv.org/abs/2601.12494,27 July 2026,medium,"Bhatti, H. H., Alam, F., & Chowdhury, S. A. (2026). Multi-task instruction tuning via data scheduling for low-resource Arabic SpeechLLMs. arXiv:2601.12494. https://arxiv.org/abs/2601.12494 Accessed 27 July 2026."
1,16,"Jurafsky, D., & Martin, J. H",2023,Speech and Language Processing (3rd ed. draft),Stanford University,,,https://web.stanford.edu/~jurafsky/slp3,19 June 2026,high,"Jurafsky, D., & Martin, J. H. (2023). Speech and Language Processing (3rd ed. draft). Stanford University. https://web.stanford.edu/~jurafsky/slp3 Accessed 19 June 2026."
1,17,"Sakoe, H., & Chiba, S",1978,Dynamic programming algorithm optimization for spoken word recognition,"IEEE Transactions on Acoustics, Speech, and Signal Processing, 26(1)",43-49,10.1109/TASSP.1978.1163055,https://doi.org/10.1109/TASSP.1978.1163055,,high,"Sakoe, H., & Chiba, S. (1978). Dynamic programming algorithm optimization for spoken word recognition. IEEE Transactions on Acoustics, Speech, and Signal Processing, 26(1), 43-49. https://doi.org/10.1109/TASSP.1978.1163055"
1,18,"Rabiner, L. R",1989,A tutorial on hidden Markov models and selected applications in speech recognition,"Proceedings of the IEEE, 77(2)",257-286,10.1109/5.18626,https://doi.org/10.1109/5.18626,,high,"Rabiner, L. R. (1989). A tutorial on hidden Markov models and selected applications in speech recognition. Proceedings of the IEEE, 77(2), 257-286. https://doi.org/10.1109/5.18626"
1,19,"Hinton, G., Deng, L., Yu, D., Dahl, G. E., Mohamed, A., Jaitly, N., Senior, A., Vanhoucke, V., Nguyen, P., Sainath, T. N., & Kingsbury, B",2012,Deep neural networks for acoustic modeling in speech recognition: The shared views of four research groups,"IEEE Signal Processing Magazine, 29(6)",82-97,10.1109/MSP.2012.2205597,https://doi.org/10.1109/MSP.2012.2205597,,high,"Hinton, G., Deng, L., Yu, D., Dahl, G. E., Mohamed, A., Jaitly, N., Senior, A., Vanhoucke, V., Nguyen, P., Sainath, T. N., & Kingsbury, B. (2012). Deep neural networks for acoustic modeling in speech recognition: The shared views of four research groups. IEEE Signal Processing Magazine, 29(6), 82-97. https://doi.org/10.1109/MSP.2012.2205597"
1,20,"Hochreiter, S., & Schmidhuber, J",1997,Long short-term memory,"Neural Computation, 9(8)",1735-1780,10.1162/neco.1997.9.8.1735,https://doi.org/10.1162/neco.1997.9.8.1735,,high,"Hochreiter, S., & Schmidhuber, J. (1997). Long short-term memory. Neural Computation, 9(8), 1735-1780. https://doi.org/10.1162/neco.1997.9.8.1735"
1,21,"Vaswani, A., Shazeer, N., Parmar, N., Uszkoreit, J., Jones, L., Gomez, A. N., Kaiser, L., & Polosukhin, I",2017,Attention is all you need,Advances in Neural Information Processing Systems 30 (NeurIPS),5998-6008,,https://proceedings.neurips.cc/paper/2017/hash/3f5ee243547dee91fbd053c1c4a845aa-Abstract.html,19 June 2026,high,"Vaswani, A., Shazeer, N., Parmar, N., Uszkoreit, J., Jones, L., Gomez, A. N., Kaiser, L., & Polosukhin, I. (2017). Attention is all you need. Advances in Neural Information Processing Systems 30 (NeurIPS), 5998-6008. https://proceedings.neurips.cc/paper/2017/hash/3f5ee243547dee91fbd053c1c4a845aa-Abstract.html Accessed 19 June 2026."
1,22,"Gulati, A., Qin, J., Chiu, C.-C., Parmar, N., Zhang, Y., Yu, J., Han, W., Wang, S., Zhang, Z., Wu, Y., & Pang, R",2020,Conformer: Convolution-augmented Transformer for Speech Recognition,Interspeech,5036-5040,10.21437/Interspeech.2020-3015,https://doi.org/10.21437/Interspeech.2020-3015,,high,"Gulati, A., Qin, J., Chiu, C.-C., Parmar, N., Zhang, Y., Yu, J., Han, W., Wang, S., Zhang, Z., Wu, Y., & Pang, R. (2020). Conformer: Convolution-augmented Transformer for Speech Recognition. Interspeech, 5036-5040. https://doi.org/10.21437/Interspeech.2020-3015"
1,23,"Graves, A., Fernández, S., Gomez, F., & Schmidhuber, J",2006,Connectionist temporal classification: labelling unsegmented sequence data with recurrent neural networks,ICML,,10.1145/1143844.1143891,https://doi.org/10.1145/1143844.1143891,,high,"Graves, A., Fernández, S., Gomez, F., & Schmidhuber, J. (2006). Connectionist temporal classification: labelling unsegmented sequence data with recurrent neural networks. ICML. https://doi.org/10.1145/1143844.1143891"
1,24,"Chan, W., Jaitly, N., Le, Q., & Vinyals, O",2016,"Listen, attend and spell: A neural network for large vocabulary conversational speech recognition","IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,10.1109/ICASSP.2016.7472621,https://doi.org/10.1109/ICASSP.2016.7472621,,high,"Chan, W., Jaitly, N., Le, Q., & Vinyals, O. (2016). Listen, attend and spell: A neural network for large vocabulary conversational speech recognition. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP). https://doi.org/10.1109/ICASSP.2016.7472621"
1,25,"Graves, A",2012,Sequence transduction with recurrent neural networks,arXiv:1211.3711,,,https://arxiv.org/abs/1211.3711,,medium,"Graves, A. (2012). Sequence transduction with recurrent neural networks. arXiv:1211.3711. https://arxiv.org/abs/1211.3711"
1,26,"Baevski, A., Zhou, Y., Mohamed, A., & Auli, M",2020,wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,"Advances in Neural Information Processing Systems 33 (NeurIPS), 12449-12460. arXiv:2006.11477",,,https://arxiv.org/abs/2006.11477,,high,"Baevski, A., Zhou, Y., Mohamed, A., & Auli, M. (2020). wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations. Advances in Neural Information Processing Systems 33 (NeurIPS), 12449-12460. arXiv:2006.11477. https://arxiv.org/abs/2006.11477"
1,27,"Hsu, W.-N., Bolte, B., Tsai, Y.-H. H., Lakhotia, K., Salakhutdinov, R., & Mohamed, A",2021,HuBERT: Self-supervised speech representation learning by masked prediction of hidden units,"IEEE/ACM Transactions on Audio, Speech, and Language Processing, 29",3451-3460,10.1109/TASLP.2021.3122291,https://doi.org/10.1109/TASLP.2021.3122291,,high,"Hsu, W.-N., Bolte, B., Tsai, Y.-H. H., Lakhotia, K., Salakhutdinov, R., & Mohamed, A. (2021). HuBERT: Self-supervised speech representation learning by masked prediction of hidden units. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 29, 3451-3460. https://doi.org/10.1109/TASLP.2021.3122291"
1,28,"Radford, A., Kim, J. W., Xu, T., Brockman, G., McLeavey, C., & Sutskever, I",2023,Robust Speech Recognition via Large-Scale Weak Supervision,"Proceedings of the 40th International Conference on Machine Learning (ICML), PMLR 202",28492-28518,,https://proceedings.mlr.press/v202/radford23a.html,19 June 2026,high,"Radford, A., Kim, J. W., Xu, T., Brockman, G., McLeavey, C., & Sutskever, I. (2023). Robust Speech Recognition via Large-Scale Weak Supervision. Proceedings of the 40th International Conference on Machine Learning (ICML), PMLR 202, 28492-28518. https://proceedings.mlr.press/v202/radford23a.html Accessed 19 June 2026."
1,29,"Pratap, V., Tjandra, A., Shi, B., Tomasello, P., Babu, A., Kundu, S., Elkahky, A., Ni, Z., Vyas, A., Fazel-Zarandi, M., Baevski, A., Adi, Y., Zhang, X., Hsu, W.-N., Conneau, A., & Auli, M",2024,"Scaling speech technology to 1,000+ languages","Journal of Machine Learning Research, 25(97)",1-52,,https://jmlr.org/papers/v25/23-1318.html,19 June 2026,high,"Pratap, V., Tjandra, A., Shi, B., Tomasello, P., Babu, A., Kundu, S., Elkahky, A., Ni, Z., Vyas, A., Fazel-Zarandi, M., Baevski, A., Adi, Y., Zhang, X., Hsu, W.-N., Conneau, A., & Auli, M. (2024). Scaling speech technology to 1,000+ languages. Journal of Machine Learning Research, 25(97), 1-52. https://jmlr.org/papers/v25/23-1318.html Accessed 19 June 2026."
1,30,"Cui, W., Yu, D., Jiao, X., Meng, Z., Zhang, G., Wang, Q., Guo, Y., & King, I",2025,Recent advances in speech language models: A survey,arXiv:2410.03751,,,https://arxiv.org/abs/2410.03751,,medium,"Cui, W., Yu, D., Jiao, X., Meng, Z., Zhang, G., Wang, Q., Guo, Y., & King, I. (2025). Recent advances in speech language models: A survey. arXiv:2410.03751. https://arxiv.org/abs/2410.03751"
1,31,"Toyin, H. O., Djanibekov, A., Kulkarni, A., & Aldarmaki, H",2023,ArTST: Arabic text and speech transformer,Proceedings of ArabicNLP 2023,41-51,10.18653/v1/2023.arabicnlp-1.5,https://doi.org/10.18653/v1/2023.arabicnlp-1.5,,high,"Toyin, H. O., Djanibekov, A., Kulkarni, A., & Aldarmaki, H. (2023). ArTST: Arabic text and speech transformer. Proceedings of ArabicNLP 2023, 41-51. https://doi.org/10.18653/v1/2023.arabicnlp-1.5"
1,32,"Abdulla, W. H., & Abdul-Karim, M. A. H",1985,Real-time spoken Arabic digit recognizer,"International Journal of Electronics, 59(5)",645-648,10.1080/00207218508920741,https://doi.org/10.1080/00207218508920741,,high,"Abdulla, W. H., & Abdul-Karim, M. A. H. (1985). Real-time spoken Arabic digit recognizer. International Journal of Electronics, 59(5), 645-648. https://doi.org/10.1080/00207218508920741"
1,33,"Al-Zabibi, M",1990,An acoustic-phonetic approach in automatic Arabic speech recognition,"Doctoral thesis, Loughborough University",,,https://hdl.handle.net/2134/6949,19 June 2026,high,"Al-Zabibi, M. (1990). An acoustic-phonetic approach in automatic Arabic speech recognition. Doctoral thesis, Loughborough University. https://hdl.handle.net/2134/6949 Accessed 19 June 2026."
1,34,"Elshafei Ahmed, M",1991,Toward an Arabic text-to-speech system,"The Arabian Journal for Science and Engineering, 16(4B)",565-583,,,,high,"Elshafei Ahmed, M. (1991). Toward an Arabic text-to-speech system. The Arabian Journal for Science and Engineering, 16(4B), 565-583."
1,35,"Alghamdi, M",2003,KACST Arabic phonetics database,"Proceedings of the 15th International Congress of Phonetic Sciences (ICPhS), Barcelona",3109-3112,,https://www.internationalphoneticassociation.org/icphs-proceedings/ICPhS2003/papers/p15_3109.pdf,26 July 2026,high,"Alghamdi, M. (2003). KACST Arabic phonetics database. Proceedings of the 15th International Congress of Phonetic Sciences (ICPhS), Barcelona, 3109-3112. https://www.internationalphoneticassociation.org/icphs-proceedings/ICPhS2003/papers/p15_3109.pdf Accessed 26 July 2026."
1,36,"Alghamdi, M., Alhargan, F., Alkanhal, M., Alkhairy, A., El-Desouki, M., & Alenazi, A",2008,Saudi accented Arabic voice bank,"Journal of King Saud University - Computer and Information Sciences, 20",45-64,10.1016/S1319-1578(08)80004-3,https://doi.org/10.1016/S1319-1578(08)80004-3,,high,"Alghamdi, M., Alhargan, F., Alkanhal, M., Alkhairy, A., El-Desouki, M., & Alenazi, A. (2008). Saudi accented Arabic voice bank. Journal of King Saud University - Computer and Information Sciences, 20, 45-64. https://doi.org/10.1016/S1319-1578(08)80004-3"
1,37,"Alghamdi, M",2015,Arabic Phonetics and Phonology,"Al-Toubah Bookshop, Riyadh. (In Arabic)",,,https://mghamdi.me,19 June 2026,high,"Alghamdi, M. (2015). Arabic Phonetics and Phonology. Al-Toubah Bookshop, Riyadh. (In Arabic). https://mghamdi.me Accessed 19 June 2026."
1,38,"Canavan, A., Zipperlen, G., & Graff, D",1997,CALLHOME Egyptian Arabic Speech (LDC97S45),"Linguistic Data Consortium, Philadelphia",,,https://catalog.ldc.upenn.edu/LDC97S45,26 July 2026,high,"Canavan, A., Zipperlen, G., & Graff, D. (1997). CALLHOME Egyptian Arabic Speech (LDC97S45). Linguistic Data Consortium, Philadelphia. https://catalog.ldc.upenn.edu/LDC97S45 Accessed 26 July 2026."
1,39,"Abdou, S. M., & Moussa, A. M",2019,Arabic speech recognition: Challenges and state of the art,"In Computational Linguistics, Speech and Image Processing for Arabic Language. World Scientific",,10.1142/9789813229396_0001,https://doi.org/10.1142/9789813229396_0001,,high,"Abdou, S. M., & Moussa, A. M. (2019). Arabic speech recognition: Challenges and state of the art. In Computational Linguistics, Speech and Image Processing for Arabic Language. World Scientific. https://doi.org/10.1142/9789813229396_0001"
1,40,"Ali, A., Vogel, S., & Renals, S",2017,Speech recognition challenge in the wild: Arabic MGB-3,IEEE Automatic Speech Recognition and Understanding Workshop (ASRU),,10.1109/ASRU.2017.8268952,https://doi.org/10.1109/ASRU.2017.8268952,,high,"Ali, A., Vogel, S., & Renals, S. (2017). Speech recognition challenge in the wild: Arabic MGB-3. IEEE Automatic Speech Recognition and Understanding Workshop (ASRU). https://doi.org/10.1109/ASRU.2017.8268952"
1,41,"Ali, A., Shon, S., Samih, Y., Mubarak, H., Abdelali, A., Glass, J., Renals, S., & Choukri, K",2019,The MGB-5 challenge: Recognition and dialect identification of dialectal Arabic speech,IEEE Automatic Speech Recognition and Understanding Workshop (ASRU),,10.1109/ASRU46091.2019.9003960,https://doi.org/10.1109/ASRU46091.2019.9003960,,high,"Ali, A., Shon, S., Samih, Y., Mubarak, H., Abdelali, A., Glass, J., Renals, S., & Choukri, K. (2019). The MGB-5 challenge: Recognition and dialect identification of dialectal Arabic speech. IEEE Automatic Speech Recognition and Understanding Workshop (ASRU). https://doi.org/10.1109/ASRU46091.2019.9003960"
1,42,"Mubarak, H., Hussein, A., Chowdhury, S. A., & Ali, A",2021,"QASR: QCRI Aljazeera Speech Resource, a large scale annotated Arabic speech corpus",ACL-IJCNLP,,,https://aclanthology.org/2021.acl-long.177/,19 June 2026,high,"Mubarak, H., Hussein, A., Chowdhury, S. A., & Ali, A. (2021). QASR: QCRI Aljazeera Speech Resource, a large scale annotated Arabic speech corpus. ACL-IJCNLP. https://aclanthology.org/2021.acl-long.177/ Accessed 19 June 2026."
1,43,"Al-Fetyani, M., Al-Barham, M., Abandah, G. A., Alsharkawi, A., & Dawas, M",2023,MASC: Massive Arabic Speech Corpus,IEEE Spoken Language Technology Workshop (SLT),1006-1013,10.1109/SLT54892.2023.10022652,https://doi.org/10.1109/SLT54892.2023.10022652,,high,"Al-Fetyani, M., Al-Barham, M., Abandah, G. A., Alsharkawi, A., & Dawas, M. (2023). MASC: Massive Arabic Speech Corpus. IEEE Spoken Language Technology Workshop (SLT), 1006-1013. https://doi.org/10.1109/SLT54892.2023.10022652"
1,44,"Dhouib, A., Othman, A., El Ghoul, O., Khribi, M. K., & Al Sinani, A",2022,Arabic automatic speech recognition: A systematic literature review,"Applied Sciences, 12(17), 8898",,10.3390/app12178898,https://doi.org/10.3390/app12178898,,high,"Dhouib, A., Othman, A., El Ghoul, O., Khribi, M. K., & Al Sinani, A. (2022). Arabic automatic speech recognition: A systematic literature review. Applied Sciences, 12(17), 8898. https://doi.org/10.3390/app12178898"
1,45,"Ferguson, C. A",1959,Diglossia,"Word, 15(2)",325-340,10.1080/00437956.1959.11659702,https://doi.org/10.1080/00437956.1959.11659702,,high,"Ferguson, C. A. (1959). Diglossia. Word, 15(2), 325-340. https://doi.org/10.1080/00437956.1959.11659702"
1,46,"Versteegh, K",2014,The Arabic Language (2nd ed.),Edinburgh University Press,,10.1515/9780748645299,https://doi.org/10.1515/9780748645299,,high,"Versteegh, K. (2014). The Arabic Language (2nd ed.). Edinburgh University Press. https://doi.org/10.1515/9780748645299"
1,47,"Hadj Ali, I., Mnasri, Z., & Lachiri, Z",2020,DNN-based grapheme-to-phoneme conversion for Arabic text-to-speech synthesis,"International Journal of Speech Technology, 23(3)",569-584,10.1007/s10772-020-09750-7,https://doi.org/10.1007/s10772-020-09750-7,,high,"Hadj Ali, I., Mnasri, Z., & Lachiri, Z. (2020). DNN-based grapheme-to-phoneme conversion for Arabic text-to-speech synthesis. International Journal of Speech Technology, 23(3), 569-584. https://doi.org/10.1007/s10772-020-09750-7"
1,48,"Habash, N. Y",2010,Introduction to Arabic Natural Language Processing,"Synthesis Lectures on Human Language Technologies, 10. Morgan & Claypool",,10.2200/S00277ED1V01Y201008HLT010,https://doi.org/10.2200/S00277ED1V01Y201008HLT010,,high,"Habash, N. Y. (2010). Introduction to Arabic Natural Language Processing. Synthesis Lectures on Human Language Technologies, 10. Morgan & Claypool. https://doi.org/10.2200/S00277ED1V01Y201008HLT010"
1,49,"Jongman, A., Herd, W., Al-Masri, M., Sereno, J., & Combest, S",2011,Acoustics and perception of emphasis in Urban Jordanian Arabic,"Journal of Phonetics, 39(1)",85-95,10.1016/j.wocn.2010.11.007,https://doi.org/10.1016/j.wocn.2010.11.007,,high,"Jongman, A., Herd, W., Al-Masri, M., Sereno, J., & Combest, S. (2011). Acoustics and perception of emphasis in Urban Jordanian Arabic. Journal of Phonetics, 39(1), 85-95. https://doi.org/10.1016/j.wocn.2010.11.007"
1,50,"Wang, Y., Alhmoud, A., & Alqurishi, M",2025,Open Universal Arabic ASR Leaderboard,"Interspeech 2025, Rotterdam, 1168-1172. Leaderboard:",,,https://huggingface.co/spaces/elmresearchcenter/open_universal_arabic_asr_leaderboard,26 July 2026,high,"Wang, Y., Alhmoud, A., & Alqurishi, M. (2025). Open Universal Arabic ASR Leaderboard. Interspeech 2025, Rotterdam, 1168-1172. Leaderboard: https://huggingface.co/spaces/elmresearchcenter/open_universal_arabic_asr_leaderboard Accessed 26 July 2026."
1,51,"Obeid, O., Zalmout, N., Khalifa, S., Taji, D., Oudah, M., Alhafni, B., Inoue, G., Eryani, F., Erdmann, A., & Habash, N",2020,CAMeL Tools: An open source Python toolkit for Arabic natural language processing,Proceedings of the Twelfth Language Resources and Evaluation Conference (LREC),7022-7032,,https://aclanthology.org/2020.lrec-1.868/,26 July 2026,high,"Obeid, O., Zalmout, N., Khalifa, S., Taji, D., Oudah, M., Alhafni, B., Inoue, G., Eryani, F., Erdmann, A., & Habash, N. (2020). CAMeL Tools: An open source Python toolkit for Arabic natural language processing. Proceedings of the Twelfth Language Resources and Evaluation Conference (LREC), 7022-7032. https://aclanthology.org/2020.lrec-1.868/ Accessed 26 July 2026."
2,1,"Jurafsky, D., & Martin, J. H",2023,Speech and Language Processing (3rd ed. draft),Stanford University,,,https://web.stanford.edu/~jurafsky/slp3,19 June 2026,high,"Jurafsky, D., & Martin, J. H. (2023). Speech and Language Processing (3rd ed. draft). Stanford University. https://web.stanford.edu/~jurafsky/slp3 Accessed 19 June 2026."
2,2,"Habash, N. Y",2010,Introduction to Arabic Natural Language Processing,Morgan & Claypool,,10.2200/S00277ED1V01Y201008HLT010,https://doi.org/10.2200/S00277ED1V01Y201008HLT010,,high,"Habash, N. Y. (2010). Introduction to Arabic Natural Language Processing. Morgan & Claypool. https://doi.org/10.2200/S00277ED1V01Y201008HLT010"
2,3,"Guellil, I., Saâdane, H., Azouaou, F., Gueni, B., & Nouvel, D",2021,Arabic natural language processing: An overview,"Journal of King Saud University - Computer and Information Sciences, 33(5)",497-507,10.1016/j.jksuci.2019.02.006,https://doi.org/10.1016/j.jksuci.2019.02.006,,high,"Guellil, I., Saâdane, H., Azouaou, F., Gueni, B., & Nouvel, D. (2021). Arabic natural language processing: An overview. Journal of King Saud University - Computer and Information Sciences, 33(5), 497-507. https://doi.org/10.1016/j.jksuci.2019.02.006"
2,4,International Phonetic Association,1999,Handbook of the International Phonetic Association: A guide to the use of the International Phonetic Alphabet,Cambridge University Press,,,https://internationalphoneticassociation.org,19 June 2026,high,International Phonetic Association. (1999). Handbook of the International Phonetic Association: A guide to the use of the International Phonetic Alphabet. Cambridge University Press. https://internationalphoneticassociation.org Accessed 19 June 2026.
2,5,"Watson, J. C. E",2002,The Phonology and Morphology of Arabic,Oxford University Press,,,https://academic.oup.com/book/48466,19 June 2026,high,"Watson, J. C. E. (2002). The Phonology and Morphology of Arabic. Oxford University Press. https://academic.oup.com/book/48466 Accessed 19 June 2026."
2,6,"Alghamdi, M",2015,Arabic Phonetics and Phonology,"Al-Toubah Bookshop, Riyadh. (In Arabic)",,,https://mghamdi.me,19 June 2026,high,"Alghamdi, M. (2015). Arabic Phonetics and Phonology. Al-Toubah Bookshop, Riyadh. (In Arabic). https://mghamdi.me Accessed 19 June 2026."
