bibtex_key,authors,year,title,venue,pages,doi,url,accessed,chapters,confidence,raw
alfetyani2023masc,"Al-Fetyani, M., Al-Barham, M., Abandah, G. A., Alsharkawi, A., & Dawas, M",2023,MASC: Massive Arabic Speech Corpus,IEEE Spoken Language Technology Workshop (SLT),1006-1013,10.1109/SLT54892.2023.10022652,https://doi.org/10.1109/SLT54892.2023.10022652,,1;3;6;7;14,high,"Al-Fetyani, M., Al-Barham, M., Abandah, G. A., Alsharkawi, A., & Dawas, M. (2023). MASC: Massive Arabic Speech Corpus. IEEE Spoken Language Technology Workshop (SLT), 1006-1013. https://doi.org/10.1109/SLT54892.2023.10022652"
alkhalifa2026when,"Al-Khalifa, H",2026,When Does OmniASR Fail? A Fine-Grained Human Evaluation on Saudi Arabic Dialects,Proceedings of SPEAKABLE @ LREC 2026. ELRA Language Resources Association,118-124,,http://www.lrec-conf.org/proceedings/lrec2026/workshops/speakable/pdf/2026.speakable-1.13.pdf,10 August 2026,6;11;13,high,"Al-Khalifa, H. (2026). When Does OmniASR Fail? A Fine-Grained Human Evaluation on Saudi Arabic Dialects. Proceedings of SPEAKABLE @ LREC 2026, 118-124. ELRA Language Resources Association. http://www.lrec-conf.org/proceedings/lrec2026/workshops/speakable/pdf/2026.speakable-1.13.pdf Accessed 28 July 2026. Archived at https://web.archive.org/web/20260627002833/http://www.lrec-conf.org/proceedings/lrec2026/workshops/speakable/pdf/2026.speakable-1.13.pdf"
altamimi2017revisiting,"Al-Tamimi, J",2017,Revisiting acoustic correlates of pharyngealization in Jordanian and Moroccan Arabic: Implications for formal representations,"Laboratory Phonology, 8(1), 28",,10.5334/labphon.19,https://doi.org/10.5334/labphon.19,,3,high,"Al-Tamimi, J. (2017). Revisiting acoustic correlates of pharyngealization in Jordanian and Moroccan Arabic: Implications for formal representations. Laboratory Phonology, 8(1), 28. https://doi.org/10.5334/labphon.19"
alzabibi1990acoustic,"Al-Zabibi, M",1990,An acoustic-phonetic approach in automatic Arabic speech recognition,"Doctoral thesis, Loughborough University",,,https://hdl.handle.net/2134/6949,19 June 2026,1,high,"Al-Zabibi, M. (1990). An acoustic-phonetic approach in automatic Arabic speech recognition. Doctoral thesis, Loughborough University. https://hdl.handle.net/2134/6949 Accessed 19 June 2026."
alam2026oasis,"Alam, F., Shahroor, A. E., Hasan, M. A., Sheikh Ali, Z., Bhatti, H. H., Kmainasi, M. B., Chowdhury, S. A., Mousi, B., Dalvi, F., Durrani, N., & Milic-Frayling, N",2026,OASIS: A multilingual and multimodal dataset for culturally grounded spoken visual QA,"arXiv preprint arXiv:2510.06371 (v1 October 2025, revised May 2026; built with the EverydayMMQA framework)",,,https://arxiv.org/abs/2510.06371,7 August 2026,11;12,medium,"Alam, F., Shahroor, A. E., Hasan, M. A., Sheikh Ali, Z., Bhatti, H. H., Kmainasi, M. B., Chowdhury, S. A., Mousi, B., Dalvi, F., Durrani, N., & Milic-Frayling, N. (2026). OASIS: A multilingual and multimodal dataset for culturally grounded spoken visual QA. arXiv preprint arXiv:2510.06371 (v1 October 2025, revised May 2026; built with the EverydayMMQA framework). https://arxiv.org/abs/2510.06371 Accessed 7 August 2026."
aldallal2025sadeed,"Aldallal, Z., Chrouf, S., Hennara, K., Hamed, M. M., Hreden, M., & AlModhayan, S",2025,Sadeed: Advancing Arabic diacritization through small language model,arXiv preprint arXiv:2504.21635,,,https://arxiv.org/abs/2504.21635,,2;9,medium,"Aldallal, Z., Chrouf, S., Hennara, K., Hamed, M. M., Hreden, M., & AlModhayan, S. (2025). Sadeed: Advancing Arabic diacritization through small language model. arXiv preprint arXiv:2504.21635. https://arxiv.org/abs/2504.21635"
aldarmaki2023diacritic,"Aldarmaki, H., & Ghannam, A",2023,Diacritic recognition performance in Arabic ASR,Interspeech,361-365,10.21437/Interspeech.2023-2344,https://doi.org/10.21437/Interspeech.2023-2344,,2,high,"Aldarmaki, H., & Ghannam, A. (2023). Diacritic recognition performance in Arabic ASR. Interspeech, 361-365. https://doi.org/10.21437/Interspeech.2023-2344"
algabri2022mispronunc,"Algabri, M., Mathkour, H., Alsulaiman, M., & Bencherif, M. A",2022,Mispronunciation detection and diagnosis with articulatory-level feedback generation for non-native Arabic speech,"Mathematics, 10(15), 2727",,10.3390/math10152727,https://doi.org/10.3390/math10152727,,12,high,"Algabri, M., Mathkour, H., Alsulaiman, M., & Bencherif, M. A. (2022). Mispronunciation detection and diagnosis with articulatory-level feedback generation for non-native Arabic speech. Mathematics, 10(15), 2727. https://doi.org/10.3390/math10152727"
alghamdi2003kacst,"Alghamdi, M",2003,KACST Arabic phonetics database,"Proceedings of the 15th International Congress of Phonetic Sciences (ICPhS), Barcelona",3109-3112,,https://www.internationalphoneticassociation.org/icphs-proceedings/ICPhS2003/papers/p15_3109.pdf,26 July 2026,1;2;7,high,"Alghamdi, M. (2003). KACST Arabic phonetics database. Proceedings of the 15th International Congress of Phonetic Sciences (ICPhS), Barcelona, 3109-3112. https://www.internationalphoneticassociation.org/icphs-proceedings/ICPhS2003/papers/p15_3109.pdf Accessed 26 July 2026."
alghamdi2015arabic,"Alghamdi, M",2015,Arabic Phonetics and Phonology,"Al-Toubah Bookshop, Riyadh. (In Arabic)",,,https://mghamdi.me,19 June 2026,1;2,high,"Alghamdi, M. (2015). Arabic Phonetics and Phonology. Al-Toubah Bookshop, Riyadh. (In Arabic). https://mghamdi.me Accessed 19 June 2026."
alghamdi2008saudi,"Alghamdi, M., Alhargan, F., Alkanhal, M., Alkhairy, A., El-Desouki, M., & Alenazi, A",2008,Saudi accented Arabic voice bank,"Journal of King Saud University - Computer and Information Sciences, 20",45-64,10.1016/S1319-1578(08)80004-3,https://doi.org/10.1016/S1319-1578(08)80004-3,,1;7,high,"Alghamdi, M., Alhargan, F., Alkanhal, M., Alkhairy, A., El-Desouki, M., & Alenazi, A. (2008). Saudi accented Arabic voice bank. Journal of King Saud University - Computer and Information Sciences, 20, 45-64. https://doi.org/10.1016/S1319-1578(08)80004-3"
alghamdi2004arabic,"Alghamdi, M., Almuhtasib, H., & Elshafei, M",2004,Arabic phonological rules,"Journal of King Saud University - Computer and Information Sciences, 16",1-25,,https://mghamdi.me,19 June 2026,2,high,"Alghamdi, M., Almuhtasib, H., & Elshafei, M. (2004). Arabic phonological rules. Journal of King Saud University - Computer and Information Sciences, 16, 1-25. https://mghamdi.me Accessed 19 June 2026."
alharbi2024sada,"Alharbi, S., Alowisheq, A., Tüske, Z., Darwish, K., Alrajeh, A., Alrowithi, A., Bin Tamran, A., Ibrahim, A., Aloraini, R., Alnajim, R., Alkahtani, R., Almuasaad, R., Alrasheed, S., Alsubaie, S., & Alonaizan, Y",2024,SADA: Saudi Audio Dataset for Arabic,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10286-10290,10.1109/ICASSP48485.2024.10446243,https://doi.org/10.1109/ICASSP48485.2024.10446243,,1;3;4;5;6;7;8;10;12,high,"Alharbi, S., Alowisheq, A., Tüske, Z., Darwish, K., Alrajeh, A., Alrowithi, A., Bin Tamran, A., Ibrahim, A., Aloraini, R., Alnajim, R., Alkahtani, R., Almuasaad, R., Alrasheed, S., Alsubaie, S., & Alonaizan, Y. (2024). SADA: Saudi Audio Dataset for Arabic. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 10286-10290. https://doi.org/10.1109/ICASSP48485.2024.10446243"
alherran2026tadabur,"Alherran, F",2026,Tadabur: A large-scale Quran audio dataset,arXiv preprint arXiv:2604.18932,,,https://arxiv.org/abs/2604.18932,,9,medium,"Alherran, F. (2026). Tadabur: A large-scale Quran audio dataset. arXiv preprint arXiv:2604.18932. https://arxiv.org/abs/2604.18932"
ali2016challenge,"Ali, A., Bell, P., Glass, J., Messaoui, Y., Mubarak, H., Renals, S., & Zhang, Y",2016,The MGB-2 challenge: Arabic multi-dialect broadcast media recognition,IEEE Spoken Language Technology Workshop (SLT),279-284,10.1109/SLT.2016.7846277,https://doi.org/10.1109/SLT.2016.7846277,,1;2;3;4;5;6;7;8;10;14,high,"Ali, A., Bell, P., Glass, J., Messaoui, Y., Mubarak, H., Renals, S., & Zhang, Y. (2016). The MGB-2 challenge: Arabic multi-dialect broadcast media recognition. IEEE Spoken Language Technology Workshop (SLT), 279-284. https://doi.org/10.1109/SLT.2016.7846277"
ali2021connecting,"Ali, A., Chowdhury, S., Afify, M., El-Hajj, W., Hajj, H., Abbas, M., Hussein, A., Ghneim, N., Abushariah, M., & Alqudah, A",2021,Connecting Arabs: Bridging the gap in dialectal speech recognition,"Communications of the ACM, 64(4)",124-129,10.1145/3451150,https://doi.org/10.1145/3451150,,13,high,"Ali, A., Chowdhury, S., Afify, M., El-Hajj, W., Hajj, H., Abbas, M., Hussein, A., Ghneim, N., Abushariah, M., & Alqudah, A. (2021). Connecting Arabs: Bridging the gap in dialectal speech recognition. Communications of the ACM, 64(4), 124-129. https://doi.org/10.1145/3451150"
ali2019challenge,"Ali, A., Shon, S., Samih, Y., Mubarak, H., Abdelali, A., Glass, J., Renals, S., & Choukri, K",2019,The MGB-5 challenge: Recognition and dialect identification of dialectal Arabic speech,IEEE Automatic Speech Recognition and Understanding Workshop (ASRU),1026-1033,10.1109/ASRU46091.2019.9003960,https://doi.org/10.1109/ASRU46091.2019.9003960,,1;7,high,"Ali, A., Shon, S., Samih, Y., Mubarak, H., Abdelali, A., Glass, J., Renals, S., & Choukri, K. (2019). The MGB-5 challenge: Recognition and dialect identification of dialectal Arabic speech. IEEE Automatic Speech Recognition and Understanding Workshop (ASRU). https://doi.org/10.1109/ASRU46091.2019.9003960"
ali2017speech,"Ali, A., Vogel, S., & Renals, S",2017,Speech recognition challenge in the wild: Arabic MGB-3,IEEE Automatic Speech Recognition and Understanding Workshop (ASRU),316-322,10.1109/ASRU.2017.8268952,https://doi.org/10.1109/ASRU.2017.8268952,,1;7;8,high,"Ali, A., Vogel, S., & Renals, S. (2017). Speech recognition challenge in the wild: Arabic MGB-3. IEEE Automatic Speech Recognition and Understanding Workshop (ASRU). https://doi.org/10.1109/ASRU.2017.8268952"
alkadri2025arabic,"Alkadri, M., Desouki, D., & Al Jallad, K",2025,Arabic Little STT: Arabic children speech recognition dataset,arXiv preprint arXiv:2510.23319,,,https://arxiv.org/abs/2510.23319,9 August 2026,12,medium,"Alkadri, M., Desouki, D., & Al Jallad, K. (2025). Arabic Little STT: Arabic children speech recognition dataset. arXiv preprint arXiv:2510.23319. https://arxiv.org/abs/2510.23319 Accessed 9 August 2026."
alkanhal2023aswat,"Alkanhal, L., Alessa, A., Almahmoud, E., & Alaqil, R",2023,Aswat: Arabic audio dataset for automatic speech recognition using speech-representation learning,Proceedings of ArabicNLP 2023,120-127,10.18653/v1/2023.arabicnlp-1.10,https://doi.org/10.18653/v1/2023.arabicnlp-1.10,,6;7,high,"Alkanhal, L., Alessa, A., Almahmoud, E., & Alaqil, R. (2023). Aswat: Arabic audio dataset for automatic speech recognition using speech-representation learning. Proceedings of ArabicNLP 2023, 120-127. https://doi.org/10.18653/v1/2023.arabicnlp-1.10"
almosallam2013sassc,"Almosallam, I., Alkhalifa, A., Alghamdi, M., Alkanhal, M., & Alkhairy, A",2013,SASSC: A standard Arabic single speaker corpus,8th ISCA Workshop on Speech Synthesis (SSW),249-253,,https://www.isca-archive.org/ssw_2013/almosallam13_ssw.html,4 August 2026,9,high,"Almosallam, I., Alkhalifa, A., Alghamdi, M., Alkanhal, M., & Alkhairy, A. (2013). SASSC: A standard Arabic single speaker corpus. 8th ISCA Workshop on Speech Synthesis (SSW), 249-253. https://www.isca-archive.org/ssw_2013/almosallam13_ssw.html Accessed 4 August 2026."
alqadasi2023modern,"Alqadasi, A. M. A., Abdulghafor, R., Sunar, M. S., & Salam, M. S. B. H. J",2023,Modern Standard Arabic speech corpora: A systematic review,"IEEE Access, 11",55771-55796,10.1109/ACCESS.2023.3282259,https://doi.org/10.1109/ACCESS.2023.3282259,,7,high,"Alqadasi, A. M. A., Abdulghafor, R., Sunar, M. S., & Salam, M. S. B. H. J. (2023). Modern Standard Arabic speech corpora: A systematic review. IEEE Access, 11, 55771-55796. https://doi.org/10.1109/ACCESS.2023.3282259"
alqudah2024modern,"Alqudah, A. A., Alshraideh, M. A., Abushariah, M. A., & Sharieh, A. A",2024,Modern Standard Arabic speech disorders corpus for digital speech processing applications,"International Journal of Speech Technology, 27(1)",157-170,10.1007/s10772-024-10086-9,https://doi.org/10.1007/s10772-024-10086-9,,7,high,"Alqudah, A. A., Alshraideh, M. A., Abushariah, M. A., & Sharieh, A. A. (2024). Modern Standard Arabic speech disorders corpus for digital speech processing applications. International Journal of Speech Technology, 27(1), 157-170. https://doi.org/10.1007/s10772-024-10086-9"
alrashoudi2024native,"Alrashoudi, N., Al-Khalifa, H., & Alotaibi, Y. A",2024,L2-KSU Native and Non-Native Arabic Speech (LDC2024S11),"Linguistic Data Consortium, Philadelphia",,,https://catalog.ldc.upenn.edu/LDC2024S11,28 July 2026,7,high,"Alrashoudi, N., Al-Khalifa, H., & Alotaibi, Y. A. (2024). L2-KSU Native and Non-Native Arabic Speech (LDC2024S11). Linguistic Data Consortium, Philadelphia. https://catalog.ldc.upenn.edu/LDC2024S11 Accessed 28 July 2026."
alsulaiman2014king,"Alsulaiman, M., Muhammad, G., Bencherif, M. A., Mahmood, A., & Ali, Z",2014,King Saud University Arabic Speech Database (LDC2014S02),"Linguistic Data Consortium, Philadelphia",,,https://catalog.ldc.upenn.edu/LDC2014S02,28 July 2026,7,high,"Alsulaiman, M., Muhammad, G., Bencherif, M. A., Mahmood, A., & Ali, Z. (2014). King Saud University Arabic Speech Database (LDC2014S02). Linguistic Data Consortium, Philadelphia. https://catalog.ldc.upenn.edu/LDC2014S02 Accessed 28 July 2026."
amrouche2021balanced,"Amrouche, A., Abed, A., Ferrat, K., Boubakeur, K. N., Bentrcia, Y., & Falek, L",2021,Balanced Arabic corpus design for speech synthesis,"International Journal of Speech Technology, 24(3)",747-759,10.1007/s10772-021-09846-8,https://doi.org/10.1007/s10772-021-09846-8,,9,high,"Amrouche, A., Abed, A., Ferrat, K., Boubakeur, K. N., Bentrcia, Y., & Falek, L. (2021). Balanced Arabic corpus design for speech synthesis. International Journal of Speech Technology, 24(3), 747-759. https://doi.org/10.1007/s10772-021-09846-8"
aouf2019basic,"Aouf, A",2019,Basic Arabic Vocal Emotions Dataset (BAVED) [data set],GitHub,,,https://github.com/40uf411/Basic-Arabic-Vocal-Emotions-Dataset,30 July 2026,8,high,"Aouf, A. (2019). Basic Arabic Vocal Emotions Dataset (BAVED) [data set]. GitHub. https://github.com/40uf411/Basic-Arabic-Vocal-Emotions-Dataset Accessed 30 July 2026."
appen2006gulf,Appen Pty Ltd,2006,Gulf Arabic Conversational Telephone Speech (LDC2006S43),"Linguistic Data Consortium, Philadelphia",,,https://catalog.ldc.upenn.edu/LDC2006S43,28 July 2026,7,high,"Appen Pty Ltd. (2006). Gulf Arabic Conversational Telephone Speech (LDC2006S43). Linguistic Data Consortium, Philadelphia. https://catalog.ldc.upenn.edu/LDC2006S43 Accessed 28 July 2026."
appen2006iraqi,Appen Pty Ltd,2006,Iraqi Arabic Conversational Telephone Speech (LDC2006S45),"Linguistic Data Consortium, Philadelphia",,,https://catalog.ldc.upenn.edu/LDC2006S45,28 July 2026,7,high,"Appen Pty Ltd. (2006). Iraqi Arabic Conversational Telephone Speech (LDC2006S45). Linguistic Data Consortium, Philadelphia. https://catalog.ldc.upenn.edu/LDC2006S45 Accessed 28 July 2026."
ardila2020common,"Ardila, R., Branson, M., Davis, K., Kohler, M., Meyer, J., Henretty, M., Morais, R., Saunders, L., Tyers, F., & Weber, G",2020,Common Voice: A massively-multilingual speech corpus,LREC,4218-4222,,https://aclanthology.org/2020.lrec-1.520/,19 June 2026,1;2;3;5;6;7;14,high,"Ardila, R., Branson, M., Davis, K., Kohler, M., Meyer, J., Henretty, M., Morais, R., Saunders, L., Tyers, F., & Weber, G. (2020). Common Voice: A massively-multilingual speech corpus. LREC, 4218-4222. https://aclanthology.org/2020.lrec-1.520/ Accessed 19 June 2026."
arora2022espnet,"Arora, S., Dalmia, S., Denisov, P., Chang, X., Ueda, Y., Peng, Y., Zhang, Y., Kumar, S., Ganesan, K., Yan, B., Vu, N. T., Black, A. W., & Watanabe, S",2022,ESPnet-SLU: Advancing spoken language understanding through ESPnet,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",7167-7171,10.1109/ICASSP43922.2022.9747674,https://doi.org/10.1109/ICASSP43922.2022.9747674,,10,high,"Arora, S., Dalmia, S., Denisov, P., Chang, X., Ueda, Y., Peng, Y., Zhang, Y., Kumar, S., Ganesan, K., Yan, B., Vu, N. T., Black, A. W., & Watanabe, S. (2022). ESPnet-SLU: Advancing spoken language understanding through ESPnet. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 7167-7171. https://doi.org/10.1109/ICASSP43922.2022.9747674"
atal1971speech,"Atal, B. S., & Hanauer, S. L",1971,Speech analysis and synthesis by linear prediction of the speech wave,"The Journal of the Acoustical Society of America, 50(2B)",637-655,10.1121/1.1912679,https://doi.org/10.1121/1.1912679,,3,high,"Atal, B. S., & Hanauer, S. L. (1971). Speech analysis and synthesis by linear prediction of the speech wave. The Journal of the Acoustical Society of America, 50(2B), 637-655. https://doi.org/10.1121/1.1912679"
awesome2026github,"Salah, O",2026,Awesome Arabic AI: A community-maintained list of Arabic artificial intelligence resources,GitHub,,,https://github.com/OmarSalah26/Awesome-Arabic-AI,11 August 2026,9,medium,"Salah, O. (2026). Awesome Arabic AI: A community-maintained list of Arabic artificial intelligence resources. GitHub. https://github.com/OmarSalah26/Awesome-Arabic-AI Accessed 11 August 2026."
baali2023arabic,"Baali, M., Almakky, I., Shehata, S., & Karray, F",2023,Arabic dysarthric speech recognition using adversarial and signal-based augmentation,Interspeech 2023,1558-1562,10.21437/Interspeech.2023-1541,https://doi.org/10.21437/Interspeech.2023-1541,,12,high,"Baali, M., Almakky, I., Shehata, S., & Karray, F. (2023). Arabic dysarthric speech recognition using adversarial and signal-based augmentation. Interspeech 2023, 1558-1562. https://doi.org/10.21437/Interspeech.2023-1541"
babu2022self,"Babu, A., Wang, C., Tjandra, A., Lakhotia, K., Xu, Q., Goyal, N., Singh, K., von Platen, P., Saraf, Y., Pino, J., Baevski, A., Conneau, A., & Auli, M",2022,XLS-R: Self-Supervised Cross-Lingual Speech Representation Learning at Scale,Interspeech,2278-2282,10.21437/Interspeech.2022-143,https://doi.org/10.21437/Interspeech.2022-143,,6;8,high,"Babu, A., Wang, C., Tjandra, A., Lakhotia, K., Xu, Q., Goyal, N., Singh, K., von Platen, P., Saraf, Y., Pino, J., Baevski, A., Conneau, A., & Auli, M. (2022). XLS-R: Self-Supervised Cross-Lingual Speech Representation Learning at Scale. Interspeech, 2278-2282. https://doi.org/10.21437/Interspeech.2022-143"
baevski2020framework,"Baevski, A., Zhou, Y., Mohamed, A., & Auli, M",2020,wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,"Advances in Neural Information Processing Systems 33 (NeurIPS), 12449-12460. arXiv:2006.11477",12449-12460,,https://arxiv.org/abs/2006.11477,10 August 2026,1;3;5;6;14,high,"Baevski, A., Zhou, Y., Mohamed, A., & Auli, M. (2020). wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations. Advances in Neural Information Processing Systems 33 (NeurIPS), 12449-12460. arXiv:2006.11477. https://arxiv.org/abs/2006.11477"
bastianelli2020slurp,"Bastianelli, E., Vanzo, A., Swietojanski, P., & Rieser, V",2020,SLURP: A spoken language understanding resource package,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),7252-7262,10.18653/v1/2020.emnlp-main.588,https://doi.org/10.18653/v1/2020.emnlp-main.588,,10,high,"Bastianelli, E., Vanzo, A., Swietojanski, P., & Rieser, V. (2020). SLURP: A spoken language understanding resource package. Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP), 7252-7262. https://doi.org/10.18653/v1/2020.emnlp-main.588"
bencherif2026introducin,"Bencherif, M. A., Algabri, M., Alsulaiman, M. M., Muhammad, G., Al-Gahtani, S., Mekhtiche, M. A., Faisal, M., Albogamy, F., & Alfakih, T",2026,Introducing a nonnative Arabic speech corpus for CAPT: L2AraSpeech,"Language Resources and Evaluation, 60(3), article 45",,10.1007/s10579-026-09924-w,https://doi.org/10.1007/s10579-026-09924-w,,7,high,"Bencherif, M. A., Algabri, M., Alsulaiman, M. M., Muhammad, G., Al-Gahtani, S., Mekhtiche, M. A., Faisal, M., Albogamy, F., & Alfakih, T. (2026). Introducing a nonnative Arabic speech corpus for CAPT: L2AraSpeech. Language Resources and Evaluation, 60(3), article 45. https://doi.org/10.1007/s10579-026-09924-w"
