name,scale,variety,domain,access_licence,main_use,chapter,source,spotlight_chapter,spotlight
The cascade (10.1),,,,,"the recognizers of Table 9.4 [1], and a translation model beside them | an Arabic transcript, then an English sentence, each inspectable",10,Table 10.6 Widely used open implementations for the stages of this cha,,
"Unified and end-to-end translation (10.2, 10.4)",,,,,"the released Seamless models [6, 7] | speech to text and speech to speech in one model, Arabic in both directions",10,Table 10.6 Widely used open implementations for the stages of this cha,,
Simultaneous translation (10.3),,,,,"SimulEval [24], and the streaming model of the same family [7] | latency measured the same way twice, and a streaming baseline",10,Table 10.6 Widely used open implementations for the stages of this cha,,
Translation scoring (10.5),,,,,"sacreBLEU [10], COMET [9] | a BLEU and a chrF that two papers can compare, and a neural score",10,Table 10.6 Widely used open implementations for the stages of this cha,,
"Understanding over speech (10.7, 10.8)",,,,,ESPnet-SLU [25] | intent and slot recipes that run on audio rather than on transcripts,10,Table 10.6 Widely used open implementations for the stages of this cha,,
"Annotating intents and slots (10.7, 10.9)",,,,,Label Studio | an ontology and an interface for labelling spoken commands,10,Table 10.6 Widely used open implementations for the stages of this cha,,
SALMONN,,,,,"encoders + window-level connector to a frozen LLM | broad skills, some emergent",11,Table 11.1 Representative audio-language model designs compared.,,
Qwen2-Audio,,,,,"audio encoder + LLM, prompt-driven | voice chat and audio analysis",11,Table 11.1 Representative audio-language model designs compared.,,
AudioPaLM,,,,,shared text and audio tokens in one LLM | can speak and listen,11,Table 11.1 Representative audio-language model designs compared.,,
Jais,,,,,Arabic-centric text LLM | text only; a backbone for ALMs,11,Table 11.2 Arabic and Arabic-capable language models and their speech ,,
AceGPT,,,,,localized Arabic text LLM | text only; culture and values focus,11,Table 11.2 Arabic and Arabic-capable language models and their speech ,,
"Qwen2-Audio / Qwen2.5-Omni [7, 17]",,,,,multilingual audio / omni LLM | speech in and out; some Arabic,11,Table 11.2 Arabic and Arabic-capable language models and their speech ,,
Fanar 2.0,,,,,Arabic-centric platform | speech in and out; bilingual Arabic and English ASR and TTS,11,Table 11.2 Arabic and Arabic-capable language models and their speech ,,
