"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract"
"DNN-Based Arabic Speech Synthesis","https://scispace.com/papers/dnn-based-arabic-speech-synthesis-z2uzn6gs","2022","Proceedings Article","","Aissa Amrouche
Youssouf Bentrcia
Khadidja Nesrine Boubakeur
Ahcene Abed","10.1109/ICEEE55327.2022.9772602","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses DNN‑based TTS for Arabic with MOS, DRT, PESQ evaluations; focuses on Arabic speech synthesis, but lacks modern end‑to‑end models, low‑resource methods, multilingual or real‑time aspects.","This article discusses a Deep Neural Network-based Text-to-Speech synthesis for the Arabic language. Subjective and objective tests were used to evaluate the system. We used the Mean Opinion Score (MOS) for subjective evaluation, and the Diagnostic Rhyme Test (DRT) to test the intelligibility of some consonants and vowels. We use the Perceptual Evaluation of Speech Quality (PESQ) for objective evaluation. The results have a mean of 3.92/5, 3.88/5 for the MOS and DRT tests, respectively, and 3.17/5 for the PESQ test; the majority of words and sentences were recognized, and the system's overall evaluation quality was satisfactory. Furthermore, the results show a significant improvement in the quality of synthesized speech for DNN-based TTS when compared to its HMM-based counterpart."
"Arabic Speech Recognition by End-to-End, Modular Systems and Human","https://scispace.com/papers/arabic-speech-recognition-by-end-to-end-modular-systems-and-rfj360ivnh","2021","Posted Content","arXiv: Audio and Speech Processing","Amir Hussein
Shinji Watanabe
Ahmed Ali","","https://arxiv.org/pdf/2101.08454.pdf","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses transformer end‑to‑end and HMM‑DNN ASR to benchmark Arabic speech recognition, includes human baseline and multiple MGB corpora, but lacks low‑resource, multilingual, or real‑time aspects.","Recent advances in automatic speech recognition (ASR) have achieved accuracy levels comparable to human transcribers, which led researchers to debate if the machine has reached human performance. Previous work focused on the English language and modular hidden Markov model-deep neural network (HMM-DNN) systems. In this paper, we perform a comprehensive benchmarking for end-to-end transformer ASR, modular HMM-DNN ASR, and human speech recognition (HSR) on the Arabic language and its dialects. For the HSR, we evaluate linguist performance and lay-native speaker performance on a new dataset collected as a part of this study. For ASR the end-to-end work led to 12.5%, 27.5%, 33.8% WER; a new performance milestone for the MGB2, MGB3, and MGB5 challenges respectively. Our results suggest that human performance in the Arabic language is still considerably better than the machine with an absolute WER gap of 3.5% on average."
"A Transfer Learning End-to-End ArabicText-To-Speech (TTS) Deep Architecture","https://scispace.com/papers/a-transfer-learning-end-to-end-arabictext-to-speech-tts-deep-4phgfkya7k","2020","Posted Content","arXiv: Audio and Speech Processing","Fady K. Fahmy
Mahmoud I. Khalil
Hazem M. Abbas","","https://arxiv.org/pdf/2007.11541.pdf","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses end‑to‑end neural TTS for Arabic, leverages transfer learning on 2.41 h data, employs English embeddings, but evaluation is limited and no real‑time claims.","Speech synthesis is the artificial production of human speech. A typical text-to-speech system converts a language text into a waveform. There exist many English TTS systems that produce mature, natural, and human-like speech synthesizers. In contrast, other languages, including Arabic, have not been considered until recently. Existing Arabic speech synthesis solutions are slow, of low quality, and the naturalness of synthesized speech is inferior to the English synthesizers. They also lack essential speech key factors such as intonation, stress, and rhythm. Different works were proposed to solve those issues, including the use of concatenative methods such as unit selection or parametric methods. However, they required a lot of laborious work and domain expertise. Another reason for such poor performance of Arabic speech synthesizers is the lack of speech corpora, unlike English that has many publicly available corpora and audiobooks. This work describes how to generate high quality, natural, and human-like Arabic speech using an end-to-end neural deep network architecture. This work uses just $\langle$ text, audio $\rangle$ pairs with a relatively small amount of recorded audio samples with a total of 2.41 hours. It illustrates how to use English character embedding despite using diacritic Arabic characters as input and how to preprocess these audio samples to achieve the best results."
"End-to-end arabic speech recognition: A review","https://www.researchgate.net/profile/Amena-Dheif/publication/380292897_Towards_Building_a_Semantic_Role_Labeling_System_for_Modern_Standard_Arabic_A_Rule-based_Approach/links/678c3f4bec3ae3435a6df104/Towards-Building-a-Semantic-Role-Labeling-System-for-Modern-Standard-Arabic-A-Rule-based-Approach.pdf#page=253","","","","AA Abdelhamid
HA Alsayadi
I Hegazy","","https://www.researchgate.net/profile/Amena-Dheif/publication/380292897_Towards_Building_a_Semantic_Role_Labeling_System_for_Modern_Standard_Arabic_A_Rule-based_Approach/links/678c3f4bec3ae3435a6df104/Towards-Building-a-Semantic-Role-Labeling-System-for-Modern-Standard-Arabic-A-Rule-based-Approach.pdf#page=253","No","34","CGT7HSIhDaUJ","","","","","","","","","Google Scholar","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses end‑to‑end neural models for Arabic ASR, reviews architectures like Transformers and Conformers. Mentions data‑scarcity challenges and some multilingual studies, but lacks detailed real‑time implementation and extensive benchmark results.",""
"Toward Accurate and Flexible Arabic Speech Recognition: A Comprehensive Framework","https://scispace.com/papers/toward-accurate-and-flexible-arabic-speech-recognition-a-2ayj5gp4bo","2023","Proceedings Article","","Ezzaldeen Mahyoub Naji
Ajit A Maslekar
Zeyad A.T. Ahmed
Ali Manour Almadani
Mohammed Tawfik
Alhasan A. Alharbi","10.1109/gcitc60406.2023.10426210","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Arabic ASR framework with ensemble of E2E and modular models; includes transfer learning but lacks detailed modern NN specs, low-resource focus, or extensive evaluation metrics.","Continuous speech recognition (ASR/CSR) system for any language is crucial for the interactions between people and computers or machines. ASR systems play a crucial role in numerous applications, including voice-activated personal assistants and speech-to-text transcription. This paper mainly aims to outline the breakthroughs in CSR of the Arabic language and provide a comprehensive framework for Arabic CSR. Some aspects of speech recognition, like acoustic models, language models, and corpora, were addressed in this study. A review of current Arabic speech recognition(SR) research was conducted with a priority on Arabic-language speech. We outline the research approach, which combines both end-to-end(E2E) and modular-based approaches to improve the flexibility and performance of SR systems. The study proposed a comparhensive framework to build accurate and flexiable CSR system. This framework leverages the ensemble technique to integrate two CSR models, representing both the E2E and modular-based approaches. The study discusses audio capture, audio pre-processing techniques, feature extraction methods, and the utilisation of acoustic and language models. The study utilises machine learning techniques, including deep neural networks(DNN), hidden Markov models(HMM), transfer learning, and the ensembling of more than two models to train and optimise the ASR systems."
"ArTST: Arabic Text and Speech Transformer","https://scispace.com/papers/artst-arabic-text-and-speech-transformer-57nmjzhug6","2023","Journal Article","","Hawau Olamide Toyin
Amirbek Djanibekov
Ajinkya Kulkarni
Hanan Aldarmaki","10.18653/v1/2023.arabicnlp-1.5","https://scispace.com/pdf/artst-arabic-text-and-speech-transformer-57nmjzhug6.pdf","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses unified-modal Transformer for Arabic ASR and TTS, achieving SOTA; includes extensive benchmarks, leverages self-supervised pretraining, but focuses on MSA only and lacks real-time emphasis.","We present ArTST, a pre-trained Arabic text and speech transformer for supporting open-source speech technologies for the Arabic language. The model architecture follows the unified-modal framework, SpeechT5, that was recently released for English, and is focused on Modern Standard Arabic (MSA), with plans to extend the model for dialectal and code-switched Arabic in future editions. We pre-trained the model from scratch on MSA speech and text data, and fine-tuned it for the following tasks: Automatic Speech Recognition (ASR), Text-To-Speech synthesis (TTS), and spoken dialect identification. In our experiments comparing ArTST with SpeechT5, as well as with previously reported results in these tasks, ArTST performs on a par with or exceeding the current state-of-the-art in all three tasks. Moreover, we find that our pre-training is conducive for generalization, which is particularly evident in the low-resource TTS task. The pre-trained model as well as the fine-tuned ASR and TTS models are released for research use."
"Evaluating the effect of using different transcription schemes in building a speech recognition system for Arabic","https://link.springer.com/article/10.1007/s10772-020-09720-z","2020","Journal Article","International Journal of Speech Technology","Eiman Alsharhan
Allan Ramsay
Hanady Ahmed","10.1007/S10772-020-09720-Z","","No","17","hAIOq_vtKaMJ","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Arabic broadcast news data to compare grapheme vs phoneme transcriptions for ASR, providing detailed WER results; no neural end‑to‑end models or low‑resource, multilingual, or real‑time aspects.","It is well-known that the Arabic language poses non-trivial issues for Automatic Speech Recognition (ASR) systems This paper is concerned with the problems posed by the complex morphology of the language and the absence of diacritics in the written form of the language Several acoustic and language models are built using different transcription resources, namely a grapheme-based transcription which uses non-diacriticised text materials, phoneme-based transcriptions obtained from automatic diacritisation tools (SAMA or MADAMIRA), and a predefined dictionary The paper presents a comprehensive assessment for the aforementioned transcription schemes by employing them in building a collection of Arabic ASR systems using the GALE (phase 3) Arabic broadcast news and broadcast conversational speech datasets LDC (2015), which include 260 h of recorded material Contrary to our expectations, the experimental evidence confirms that the use of grapheme-based transcription is superior to the use of phoneme-based transcription To investigate this further, several modifications are applied to the MADAMIRA analysis by applying a number of simple phonological rules These improvements have a substantial effect on the systems’ performance, but it is still inferior to the use of a simple grapheme-based transcription The research also examined the use of a manually diacriticised subset of the data in training the ASR system and compared it with the use of grapheme-based transcription and phoneme-based transcription obtained from MADAMIRA The goal of this step is to validate MADAMIRA’s analysis The results show that using the manually diacriticised text in generating the phonetic transcription can significantly decrease the WER compared to the use of MADAMIRA diacriticised text and also the isolated graphemes The results obtained strongly indicate that providing the training model with less information about the data (only graphemes) is less damaging than providing it with inaccurate information"
"Advancing Arabic ASR for Disordered Speech: Fine-Tuning Wav2Vec2 on Egyptian Dysarthric Speech","https://scispace.com/papers/advancing-arabic-asr-for-disordered-speech-fine-tuning-j7y7n3agufqu","2025","Journal Article","","Islam Alsohby","10.58445/rars.2975","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses personalized fine‑tuning of Wav2Vec2 on Egyptian dysarthric speech, achieving large WER/CER drops; leverages self‑supervised transfer learning on a tiny dataset.","Despite significant advances in Automatic Speech Recognition (ASR), its application to low-resource languages such as Arabic—especially for speakers with speech disorders—remains underdeveloped. This study presents a novel approach to Arabic ASR for disordered speech by fine-tuning a Wav2Vec2 model on a personalized dataset comprising approximately 1,300 utterances from an Egyptian Arabic speaker with speech impairments. Building on the comparative foundation set by Alsohby (2025), which evaluated four state-of-the-art ASR models across general, dysarthric, and accented speech, we extend the analysis through specialized model adaptation. Our methodology encompasses data preprocessing, fine-tuning, and evaluation using Word Error Rate (WER) and Character Error Rate (CER). Results indicate a substantial performance gain, reducing WER from 0.8516 to 0.3736 and CER from 0.5756 to 0.3478. These findings demonstrate the effectiveness of personalized fine-tuning and underscore the critical need for diverse, domain-specific datasets to improve ASR accessibility for Arabic speakers with speech impairments."
"Optimizing arabic speech distinctive phonetic features and phoneme recognition using genetic algorithm","https://ieeexplore.ieee.org/abstract/document/9244059/","2020","Journal Article","IEEE Access","Ahmed B. Ibrahim
Yasser Mohammad Seddiq
Ali H. Meftah
Mansour M. Alghamdi
Sid-Ahmed Selouani
Mustafa A. Qamhan
Yousef Ajami Alotaibi
Saleh A. Alshebeili","10.1109/ACCESS.2020.3034762","https://ieeexplore.ieee.org/iel7/6287639/8948470/09244059.pdf","Yes","31","cnDzms6zNqUJ","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Provides Arabic phoneme recognition with GA‑based feature selection, achieving 90% accuracy and 50% dimensionality reduction, but lacks end‑to‑end models, low‑resource focus, multilingual or real‑time specifics.","Distinctive phonetic features have an important role in Arabic speech phoneme recognition. In a given language, distinctive phonetic features are extrapolated from acoustic features using different methods. However, exploiting lengthy acoustic features vector in the sake of phoneme recognition has a huge cost in terms of computational complexity, which in turn, affects real time applications. The aim of this work is to consider methods to reduce the size of features vector employed for distinctive phonetic feature and phoneme recognition. The objective is to select the relevant input features that contribute to the speech recognition process. This, in turn, will lead to a reduced computational complexity of recognition algorithm, and an improved recognition accuracy. In the proposed approach, genetic algorithm is used to perform optimal features selection. Therefore, a baseline model based on feedforward neural networks is first built. This model is used to benchmark the results of proposed features selection method with a method that employs all elements of a features vector. Experimental results, utilizing the King Abdulaziz City for Science and Technology Arabic Phonetic Database, show that the average genetic algorithm based phoneme overall recognition accuracy is maintained slightly higher than that of recognition method employing the full-fledge features vector. The genetic algorithm based distinctive phonetic features recognition method has achieved a 50% reduction in the dimension of the input vector while obtaining a recognition accuracy of 90%. Moreover, the results of the proposed method is validated using Wilcoxon signed rank test."
"Arabic Speech Synthesis using Deep Neural Networks","https://scispace.com/papers/arabic-speech-synthesis-using-deep-neural-networks-okol8ggx0e","2021","Proceedings Article","International Conference on Communications","Aya Hamdy Ali
Mohamed Magdy
Maher Alfawzy
Mikhail Ghaly
Hazem M. Abbas","10.1109/ICCSPA49915.2021.9385731","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses DNN‑based Arabic TTS with MOS comparison, directly addressing synthesis; includes neural models but not cutting‑edge end‑to‑end, limited to single‑language, no low‑resource or real‑time aspects.","Text-to-speech (TTS) synthesis is a rapidly growing field of research. Deep learning has shown impressive results in speech synthesis and outperformed the older concatenative and parametric methods. In this paper, speech synthesis using deep learning architectures is explored and two models are utilized in an end-to-end Arabic TTS system. The results of the two systems are compared to concatenative TTS system using the Mean Opinion Score (MOS) of the synthesized speech and indicates that deep learning based systems have outperformed the concatenative system when it comes to naturalness and intelligibility; moreover, it reduces system complexity."
"End-to-End Automatic Speech Recognition model for the Sudanese Dialect","https://scispace.com/papers/end-to-end-automatic-speech-recognition-model-for-the-293m9dj9","2022","Posted Content","","","10.48550/arxiv.2212.10826","https://scispace.com/pdf/end-to-end-automatic-speech-recognition-model-for-the-293m9dj9.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses end-to-end ASR for Sudanese Arabic dialect, directly addressing Arabic speech processing and recognition. Employs neural modeling but lacks detail on architecture, low‑resource methods, and broader evaluations.","Designing a natural voice interface rely mostly on Speech recognition for interaction between human and their modern digital life equipment. In addition, speech recognition narrows the gap between monolingual individuals to better exchange communication. However, the field lacks wide support for several universal languages and their dialects, while most of the daily conversations are carried out using them. This paper comes to inspect the viability of designing an Automatic Speech Recognition model for the Sudanese dialect, which is one of the Arabic Language dialects, and its complexity is a product of historical and social conditions unique to its speakers. This condition is reflected in both the form and content of the dialect, so this paper gives an overview of the Sudanese dialect and the tasks of collecting represented resources and pre-processing performed to construct a modest dataset to overcome the lack of annotated data. Also proposed end- to-end speech recognition model, the design of the model was formed using Convolution Neural Networks. The Sudanese dialect dataset would be a stepping stone to enable future Natural Language Processing research targeting the dialect. The designed model provided some insights into the current recognition task and reached an average Label Error Rate of 73.67%."
